feature,best_lag,f_stat,p_value,significant,direction,n_obs,scope,group
sent_roc_14d,10,2.6292,0.003425,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_ema_cross,1,7.9816,0.004744,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_ema_slow,2,5.3467,0.004791,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_roc_3d,9,2.5241,0.006953,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_ema_fast,1,6.6831,0.009761,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_roc_7d,5,2.8679,0.013681,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_rsi,8,2.2146,0.023623,True,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_accel,10,1.8225,0.051577,False,-,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_roc_1d,6,1.9527,0.068821,False,+,5046,full_sample_descriptive,NLP Sentiment Momentum
sent_velocity,6,1.9527,0.068821,False,+,5046,full_sample_descriptive,NLP Sentiment Momentum
divergence_roc,2,4.4655,0.011544,True,+,5057,full_sample_descriptive,LLM Divergence
surface_vs_implied_divergence,8,2.1094,0.031636,True,+,5057,full_sample_descriptive,LLM Divergence
divergence_ema,6,2.2339,0.037233,True,+,5057,full_sample_descriptive,LLM Divergence
refinery_util_pct,3,5.3437,0.00113,True,-,5048,full_sample_descriptive,EIA Fundamentals
crude_stocks_change,4,4.5113,0.001225,True,+,5048,full_sample_descriptive,EIA Fundamentals
crude_stocks_mbbl_diff,8,2.9515,0.002704,True,+,5048,full_sample_descriptive,EIA Fundamentals
crude_stocks_mbbl,9,2.7479,0.003336,True,+,5048,full_sample_descriptive,EIA Fundamentals
eia_surprise_norm,2,5.3016,0.005011,True,-,5048,full_sample_descriptive,EIA Fundamentals
eia_surprise,4,3.3698,0.009218,True,+,5048,full_sample_descriptive,EIA Fundamentals
crude_production_mbpd_diff,3,1.0097,0.387241,False,-,5048,full_sample_descriptive,EIA Fundamentals
crude_production_mbpd,4,0.696,0.594635,False,-,5048,full_sample_descriptive,EIA Fundamentals
cot_net_long,1,3.9014,0.048321,True,+,3735,full_sample_descriptive,COT Positioning
cot_change_1w,2,1.127,0.324113,False,-,3735,full_sample_descriptive,COT Positioning
cot_net_long_change,2,1.0525,0.34917,False,-,3735,full_sample_descriptive,COT Positioning
cot_long_pct,2,0.7758,0.460424,False,-,3735,full_sample_descriptive,COT Positioning
cot_change_4w,2,0.1528,0.858298,False,+,3735,full_sample_descriptive,COT Positioning
breakeven_10yr,7,5.8704,1e-06,True,-,820,full_sample_descriptive,Macro Controls
fed_funds_rate,7,4.8341,2.4e-05,True,-,820,full_sample_descriptive,Macro Controls
fed_funds_rate_diff,10,3.1956,0.000488,True,-,820,full_sample_descriptive,Macro Controls
tips_10yr,7,3.0398,0.003675,True,-,820,full_sample_descriptive,Macro Controls
tips_10yr_diff,10,2.1205,0.020878,True,-,820,full_sample_descriptive,Macro Controls
usd_logret,3,3.0783,0.026888,True,-,820,full_sample_descriptive,Macro Controls
vix_logret,2,3.0964,0.045744,True,-,820,full_sample_descriptive,Macro Controls
umich_sentiment,10,1.3316,0.208858,False,+,820,full_sample_descriptive,Macro Controls
