feature,best_lag,f_stat,p_value,significant,direction,n_obs,scope,group
breakeven_10yr,7,5.8704,1e-06,True,-,820,full_sample_descriptive,Macro Controls
fed_funds_rate,7,4.8341,2.4e-05,True,-,820,full_sample_descriptive,Macro Controls
fed_funds_rate_diff,10,3.1956,0.000488,True,-,820,full_sample_descriptive,Macro Controls
crude_stocks_change,4,4.7204,0.000841,True,+,5057,full_sample_descriptive,EIA Fundamentals
refinery_util_pct,3,5.3139,0.001179,True,-,5057,full_sample_descriptive,EIA Fundamentals
crude_stocks_mbbl_diff,8,3.0864,0.001785,True,+,5057,full_sample_descriptive,EIA Fundamentals
crude_stocks_mbbl,9,2.8731,0.002195,True,+,5057,full_sample_descriptive,EIA Fundamentals
tips_10yr,7,3.0398,0.003675,True,-,820,full_sample_descriptive,Macro Controls
eia_surprise_norm,2,5.51,0.004071,True,-,5057,full_sample_descriptive,EIA Fundamentals
eia_surprise,4,3.4934,0.007433,True,+,5057,full_sample_descriptive,EIA Fundamentals
sent_roc_3d,1,6.1836,0.012926,True,+,5053,full_sample_descriptive,NLP Sentiment Momentum
tips_10yr_diff,10,2.1205,0.020878,True,-,820,full_sample_descriptive,Macro Controls
usd_logret,3,3.0783,0.026888,True,-,820,full_sample_descriptive,Macro Controls
sent_ema_fast,3,2.9323,0.032215,True,+,5053,full_sample_descriptive,NLP Sentiment Momentum
vix_logret,2,3.0964,0.045744,True,-,820,full_sample_descriptive,Macro Controls
sent_rsi,1,3.9422,0.047144,True,+,5053,full_sample_descriptive,NLP Sentiment Momentum
sent_ema_slow,2,3.0454,0.047667,True,+,5053,full_sample_descriptive,NLP Sentiment Momentum
cot_net_long,1,3.9014,0.048321,True,+,3735,full_sample_descriptive,COT Positioning
